period,horizon_days,model,observations,test_start,test_end,mae_cop,rmse_cop,mean_error_cop,directional_accuracy,mase_vs_random_walk,skill_vs_random_walk_pct,loss_difference_ci_low_cop,loss_difference_ci_high_cop,positive_window_share,statistically_better,dm_pvalue_one_sided,holm_adjusted_pvalue,selection_skill_pct,confirmation_skill_pct,confirmation_directional_accuracy,probabilistic_calibration_passed,qualifies,quantile_interval_coverage,quantile_interval_mean_width,pinball_loss_p10,pinball_loss_p90,conformal_quantile_coverage
overall,15,elastic_net,750,2023-08-07,2026-06-19,77.16591298814564,98.96556420698985,15.84035531190354,0.396,1.0197647715115947,-1.9764771511594725,0.3321941488045367,2.553267340360828,0.16666666666666666,False,0.988553938725515,1.0,-1.8634567360902965,-2.4227077017908716,0.3333333333333333,True,False,,,,,
overall,15,ridge,750,2023-08-07,2026-06-19,75.40188810951655,99.41890565404155,-0.5645851284010932,0.548,0.9964527888286152,0.354721117138479,-2.967904512134962,3.085415004177865,0.5,False,0.3527027065903692,1.0,0.8593781949153945,-1.6377809061338233,0.44,True,False,,,,,
overall,15,huber,750,2023-08-07,2026-06-19,76.19372380369319,100.25903719441317,-2.5708419099870174,0.5306666666666666,1.0069170743463776,-0.6917074346377561,-2.7151001046530014,4.515045237585539,0.5,False,0.7480579951693508,1.0,-1.7390250044755806,3.4433428179077796,0.5733333333333334,True,False,,,,,
overall,15,gradient_boosting,750,2023-08-07,2026-06-19,81.63448669203315,109.48196967877146,-17.47083185567094,0.5693333333333334,1.0788179708539989,-7.881797085399889,-1.5904934263253332,13.817625315427442,0.3333333333333333,False,0.9564907472616708,1.0,-10.184638044222272,1.210347802253764,0.62,True,False,,,,,
overall,15,pca_ridge,750,2023-08-07,2026-06-19,73.93033611548137,98.84573781165497,-12.133968302196564,0.5906666666666667,0.9770059006255916,2.299409937440844,-6.394566276992052,3.3886601727612495,0.8333333333333334,False,0.21557130241594127,1.0,2.588391850777283,1.1584429870744595,0.56,True,False,,,,,
overall,15,extra_trees,750,2023-08-07,2026-06-19,74.56646657852669,99.42135603627334,-4.185550687313992,0.5706666666666667,0.9854125067445217,1.4587493255478257,-4.489432660060722,2.6916679573790554,0.8333333333333334,False,0.28632878622441293,1.0,1.6010934306895375,0.896742113155069,0.47333333333333333,True,False,,,,,
overall,15,quantile_boosting,750,2023-08-07,2026-06-19,76.36363133734721,102.05120529949247,-14.062871090106247,0.5773333333333334,1.009162440344463,-0.9162440344463008,-4.76075908062651,6.322541153315042,0.3333333333333333,False,0.5388867899334269,1.0,-0.42806563754642646,-2.843684441753358,0.47333333333333333,True,False,0.772,0.05856354571770961,0.0038351980130410463,0.005351224005032413,0.8444444444444444
overall,15,regime_ridge,750,2023-08-07,2026-06-19,83.30811083086974,111.65195766648739,-16.700312294266663,0.544,1.1009352875738718,-10.093528757387183,-0.03798244084205571,16.77469803347096,0.5,False,0.9593539428520181,1.0,-10.968270092606636,-6.6398491063609955,0.54,True,False,,,,,
overall,15,long_ridge,750,2023-08-07,2026-06-19,73.7577987986751,98.22617706802731,-4.273454218545564,0.5733333333333334,0.974725781455911,2.5274218544088956,-5.043358868886549,1.3322063128997077,0.8333333333333334,False,0.057260195233578996,0.744382538036527,3.896813049388903,-2.8792490252868452,0.41333333333333333,True,False,,,,,
overall,15,recent_extra_trees,750,2023-08-07,2026-06-19,81.2433622479265,102.48717293716541,14.253630386119687,0.4533333333333333,1.0736491739859013,-7.364917398590132,-0.39111116461352324,11.295316555562326,0.16666666666666666,False,0.9767108141342785,1.0,-8.288928406185448,-3.7167097676386707,0.49333333333333335,True,False,,,,,
