period,horizon_days,model,observations,test_start,test_end,mae_cop,rmse_cop,mean_error_cop,directional_accuracy,mase_vs_random_walk,skill_vs_random_walk_pct
calm,15,elastic_net,259,2023-07-03,2026-01-12,78.33597507232086,102.22150775116903,8.09049695594518,0.4864864864864865,1.0044450973493102,-0.4445097349310201
normal,15,elastic_net,452,2023-07-07,2026-05-15,76.13475348256927,99.24787555564474,6.781501146199391,0.46017699115044247,1.0097438523099733,-0.9743852309973322
stress,15,elastic_net,39,2024-08-06,2026-04-08,74.21443847334929,84.67706812990566,56.76905726416923,0.15384615384615385,1.1190961360303062,-11.909613603030621
calm,15,ridge,259,2023-07-03,2026-01-12,75.69942840447965,100.76026149623416,-1.576536241295256,0.6023166023166023,0.9706385816073302,2.9361418392669814
normal,15,ridge,452,2023-07-07,2026-05-15,75.31553866651146,98.9968827925953,-6.0476255858228445,0.5287610619469026,0.9988789438890772,0.11210561109228356
stress,15,ridge,39,2024-08-06,2026-04-08,75.05334182046691,84.92326368464038,51.92656726085383,0.3076923076923077,1.1317461474509187,-13.174614745091873
calm,15,huber,259,2023-07-03,2026-01-12,77.72818997133793,102.53949564228826,-5.236460000696599,0.5482625482625483,0.9966519121063786,0.33480878936213987
normal,15,huber,452,2023-07-07,2026-05-15,76.46711799827449,100.0937210131981,-9.996301497887009,0.5066371681415929,1.0141518658794422,-1.4151865879442171
stress,15,huber,39,2024-08-06,2026-04-08,71.18012620257626,82.06023048918212,47.800363440896675,0.2564102564102564,1.0733410618482,-7.3341061848199995
calm,15,gradient_boosting,259,2023-07-03,2026-01-12,78.41877895684054,107.36275626072032,-8.968702436447511,0.5521235521235521,1.0055068311921644,-0.5506831192164441
normal,15,gradient_boosting,452,2023-07-07,2026-05-15,81.5995943592756,107.70499017768992,-8.589303369737815,0.5265486725663717,1.0822217842227602,-8.222178422276016
stress,15,gradient_boosting,39,2024-08-06,2026-04-08,59.4454540202944,71.25769508910177,37.04436971220942,0.5897435897435898,0.8963913123531636,10.360868764683639
calm,15,pca_ridge,259,2023-07-03,2026-01-12,75.57752037920176,102.25435280641325,-12.596658932145411,0.5791505791505791,0.9690754438764873,3.0924556123512748
