period,horizon_days,model,observations,test_start,test_end,mae_cop,rmse_cop,mean_error_cop,directional_accuracy,mase_vs_random_walk,skill_vs_random_walk_pct
window_001,15,elastic_net,125,2023-08-07,2024-01-26,98.28931058554048,130.10452103437586,18.063738021074183,0.392,1.0173158177163082,-1.731581771630819
window_002,15,elastic_net,125,2024-01-29,2024-07-19,74.31981032161615,97.18656091162948,-3.74637869229916,0.432,1.0131144997014108,-1.3114499701410764
window_003,15,elastic_net,125,2024-07-22,2025-01-10,69.54910981166971,87.02616365795016,-15.77528991565116,0.568,0.9924369742609456,0.756302573905443
window_004,15,elastic_net,125,2025-01-13,2025-07-04,75.63358471797062,92.32720315520969,32.31274037808132,0.28,1.0444227282289076,-4.442272822890758
window_005,15,elastic_net,125,2025-07-07,2025-12-26,64.13915702700376,80.8938911237428,30.13439149171316,0.4,1.0237197912025306,-2.371979120253065
window_006,15,elastic_net,125,2025-12-29,2026-06-19,81.06450546507307,98.74713237764983,34.05293058850385,0.304,1.0274470723704474,-2.744707237044741
window_001,15,ridge,125,2023-08-07,2024-01-26,97.49736089469152,129.32830349205622,10.929622438691629,0.528,1.0091189655608033,-0.9118965560803272
window_002,15,ridge,125,2024-01-29,2024-07-19,72.41226745411097,102.65835351437546,-24.832865460567888,0.568,0.9871112129665762,1.2888787033423776
window_003,15,ridge,125,2024-07-22,2025-01-10,74.03507859050973,94.04294939682539,-40.81442906148118,0.488,1.0564498896462988,-5.644988964629882
window_004,15,ridge,125,2025-01-13,2025-07-04,68.06348576882694,88.50709817965067,11.435113628221435,0.648,0.9398873762829503,6.011262371704973
window_005,15,ridge,125,2025-07-07,2025-12-26,61.126285622837585,77.56976345454294,14.902581744719965,0.616,0.9756315994058329,2.4368400594167117
window_006,15,ridge,125,2025-12-29,2026-06-19,79.27685032612237,96.67219981172182,24.992465940008668,0.44,1.0047895476204292,-0.47895476204291576
window_001,15,huber,125,2023-08-07,2024-01-26,95.03279330987795,127.88709747058576,2.5486595872806648,0.568,0.9836101531281461,1.6389846871853853
window_002,15,huber,125,2024-01-29,2024-07-19,75.0144037352483,105.53238925416997,-33.558414573541754,0.504,1.0225830741730433,-2.2583074173043283
window_003,15,huber,125,2024-07-22,2025-01-10,76.06793229430004,95.5985414946687,-34.54831737217114,0.488,1.0854578695380315,-8.545786953803148
window_004,15,huber,125,2025-01-13,2025-07-04,75.548094373088,94.93350928324251,23.5917120035536,0.464,1.0432421936876388,-4.324219368763882
window_005,15,huber,125,2025-07-07,2025-12-26,60.92402144732295,76.24150754487093,13.613754127090928,0.544,0.9724032775955163,2.7596722404483742
window_006,15,huber,125,2025-12-29,2026-06-19,74.61444380273947,93.95959142650165,13.022392234697048,0.616,0.9456961638371335,5.430383616286649
window_001,15,gradient_boosting,125,2023-08-07,2024-01-26,101.49761621544211,141.6267328083926,-49.2365577716779,0.6,1.0505224812479106,-5.052248124791059
window_002,15,gradient_boosting,125,2024-01-29,2024-07-19,75.76771667704683,105.54609868322277,-41.891062953113185,0.608,1.0328521028592865,-3.2852102859286525
window_003,15,gradient_boosting,125,2024-07-22,2025-01-10,91.40910916803949,115.43072260988872,-80.92665660054108,0.44,1.3043701057895634,-30.437010578956336
window_004,15,gradient_boosting,125,2025-01-13,2025-07-04,80.66991170104376,108.65983686790382,5.090315032362527,0.536,1.113969271441533,-11.396927144153302
window_005,15,gradient_boosting,125,2025-07-07,2025-12-26,62.57755022284431,79.8249521267383,30.338815349876295,0.608,0.9987951138978148,0.12048861021851653
window_006,15,gradient_boosting,125,2025-12-29,2026-06-19,77.88501616778235,96.00242112986302,31.800155809067864,0.624,0.9871488314647281,1.2851168535271906
window_001,15,pca_ridge,125,2023-08-07,2024-01-26,95.34406403641451,129.1564032734865,-11.480385265786943,0.608,0.9868318730874301,1.3168126912569855
window_002,15,pca_ridge,125,2024-01-29,2024-07-19,71.3922897111538,103.60305519013424,-32.95126220132659,0.6,0.9732070569105955,2.6792943089404497
window_003,15,pca_ridge,125,2024-07-22,2025-01-10,76.84294848424865,95.56485828801023,-52.31460286003893,0.448,1.0965170293840543,-9.651702938405426
window_004,15,pca_ridge,125,2025-01-13,2025-07-04,61.716105574791584,82.78726186948244,3.945873019849245,0.688,0.8522365242959573,14.776347570404269
window_005,15,pca_ridge,125,2025-07-07,2025-12-26,61.05956881855045,77.16258643564895,11.059699137369712,0.624,0.9745667379994728,2.54332620005272
window_006,15,pca_ridge,125,2025-12-29,2026-06-19,77.2270400677292,96.26771077062337,8.936868356754422,0.576,0.9788093539855174,2.1190646014482617
window_001,15,extra_trees,125,2023-08-07,2024-01-26,94.2576337154559,129.08865096031008,-6.619150303298644,0.56,0.9755870821353568,2.441291786464317
window_002,15,extra_trees,125,2024-01-29,2024-07-19,70.73341772552193,102.606017359638,-35.60370835126776,0.624,0.9642254306227718,3.5774569377228227
window_003,15,extra_trees,125,2024-07-22,2025-01-10,74.55501209823747,94.79161273346382,-45.24580460512069,0.488,1.0638691253291634,-6.3869125329163445
window_004,15,extra_trees,125,2025-01-13,2025-07-04,69.50903843471725,90.51935559458067,12.551814898782082,0.624,0.9598489854640766,4.01510145359234
window_005,15,extra_trees,125,2025-07-07,2025-12-26,61.08891363930351,77.36920380603557,25.58540406485539,0.616,0.9750351082613637,2.4964891738636252
window_006,15,extra_trees,125,2025-12-29,2026-06-19,77.39888155683552,94.76153764995522,24.08348800197994,0.52,0.9809873483355863,1.9012651664413682
window_001,15,quantile_boosting,125,2023-08-07,2024-01-26,90.87651517866034,127.88512634231157,-22.542970093391865,0.68,0.9405917672983236,5.940823270167639
window_002,15,quantile_boosting,125,2024-01-29,2024-07-19,76.05970580764398,109.05176539702407,-51.230175429543145,0.56,1.0368324470055246,-3.683244700552457
window_003,15,quantile_boosting,125,2024-07-22,2025-01-10,80.69372441397108,103.54236864931828,-67.80915642352645,0.472,1.1514660060510333,-15.146600605103334
window_004,15,quantile_boosting,125,2025-01-13,2025-07-04,73.45438069733231,93.23296231922725,12.151103020140013,0.592,1.0143301414886459,-1.4330141488645864
window_005,15,quantile_boosting,125,2025-07-07,2025-12-26,57.71327983938322,73.49822500349465,15.000655538957567,0.632,0.9211568958087789,7.884310419122109
window_006,15,quantile_boosting,125,2025-12-29,2026-06-19,79.38418208709234,97.07935669175129,30.053316846726585,0.528,1.0061499174018556,-0.6149917401855554
window_001,15,regime_ridge,125,2023-08-07,2024-01-26,139.4583109077389,174.62273483966237,-90.8903848900348,0.528,1.4434239568194995,-44.34239568194995
window_002,15,regime_ridge,125,2024-01-29,2024-07-19,70.52810145157976,99.92219776422785,-31.10965658008862,0.624,0.9614265955173628,3.857340448263724
window_003,15,regime_ridge,125,2024-07-22,2025-01-10,75.58450248508804,97.10074192919546,-38.645064393216984,0.448,1.0785595265050139,-7.8559526505013855
window_004,15,regime_ridge,125,2025-01-13,2025-07-04,70.0378124494591,88.21345576078576,18.12946800743194,0.536,0.9671508157442696,3.2849184255730357
window_005,15,regime_ridge,125,2025-07-07,2025-12-26,59.76921417123081,75.97329213180049,18.200332830275677,0.584,0.9539714939806727,4.602850601932729
window_006,15,regime_ridge,125,2025-12-29,2026-06-19,84.47072352012192,106.47677586137664,24.113431260032907,0.544,1.0706189729259028,-7.06189729259028
window_001,15,long_ridge,125,2023-08-07,2024-01-26,94.57218188210021,128.22709948946593,-5.089882412175786,0.616,0.9788427243151078,2.115727568489223
window_002,15,long_ridge,125,2024-01-29,2024-07-19,71.06265719046199,101.16653810263105,-34.22789361726387,0.6,0.9687135647334653,3.128643526653474
window_003,15,long_ridge,125,2024-07-22,2025-01-10,69.9526727185229,90.06721351843382,-35.933127428840194,0.568,0.9981956496959853,0.18043503040147124
window_004,15,long_ridge,125,2025-01-13,2025-07-04,66.55304144577114,86.40466062723851,10.44240062984399,0.624,0.9190296794462041,8.097032055379593
window_005,15,long_ridge,125,2025-07-07,2025-12-26,59.61315923084493,76.11220476450757,14.10486572543655,0.616,0.9514807139580931,4.851928604190691
window_006,15,long_ridge,125,2025-12-29,2026-06-19,80.79308032434935,99.20936271363956,25.0629117917261,0.416,1.0240069111728383,-2.4006911172838263
window_001,15,recent_extra_trees,125,2023-08-07,2024-01-26,93.45853473025115,126.70076223613148,-26.48711383003213,0.632,0.9673162332228258,3.2683766777174217
window_002,15,recent_extra_trees,125,2024-01-29,2024-07-19,73.91708289303243,97.21743405962444,-1.6251521590179945,0.48,1.007624590677693,-0.7624590677693055
window_003,15,recent_extra_trees,125,2024-07-22,2025-01-10,76.50855855930818,95.40975598559646,-33.57593602813727,0.4,1.0917454237340336,-9.17454237340336
window_004,15,recent_extra_trees,125,2025-01-13,2025-07-04,94.74393775632178,109.6670023451795,67.55452084027964,0.288,1.3083172286966338,-30.83172286966338
window_005,15,recent_extra_trees,125,2025-07-07,2025-12-26,66.91989397331302,83.10716362575339,42.38273127252864,0.432,1.0681029040779675,-6.8102904077967485
window_006,15,recent_extra_trees,125,2025-12-29,2026-06-19,81.8692175040097,97.32199179412031,37.43692190276259,0.496,1.0376463454525848,-3.764634545258483
window_001,15,ensemble_equal,125,2023-08-07,2024-01-26,94.50063834400214,128.81262267099086,-18.295301614053436,0.608,0.9781022330803136,2.189776691968637
window_002,15,ensemble_equal,125,2024-01-29,2024-07-19,69.17523381747102,99.35650379437423,-29.15884231399489,0.624,0.9429845433866988,5.701545661330121
window_003,15,ensemble_equal,125,2024-07-22,2025-01-10,73.94142170554152,94.26433016310386,-44.623937996192524,0.472,1.0551134447113708,-5.511344471137081
window_004,15,ensemble_equal,125,2025-01-13,2025-07-04,71.80980578316596,90.5174192639733,19.646214166164253,0.568,0.991620237878559,0.8379762121440981
window_005,15,ensemble_equal,125,2025-07-07,2025-12-26,60.361262089276465,76.58462646037435,21.50799418401537,0.624,0.9634211219324155,3.657887806758453
window_006,15,ensemble_equal,125,2025-12-29,2026-06-19,78.64259869460008,96.02098558818089,25.31086217820936,0.504,0.9967507644536766,0.32492355463233924
window_001,15,ensemble_weighted,125,2023-08-07,2024-01-26,94.50063834400214,128.81262267099086,-18.29530161405344,0.608,0.9781022330803136,2.189776691968637
window_002,15,ensemble_weighted,125,2024-01-29,2024-07-19,69.21289579796677,99.3981253231329,-29.170878847951556,0.624,0.943497944838648,5.650205516135198
window_003,15,ensemble_weighted,125,2024-07-22,2025-01-10,73.9050182923726,94.20117823953468,-44.650850476241644,0.472,1.0545939830918627,-5.45939830918627
window_004,15,ensemble_weighted,125,2025-01-13,2025-07-04,71.77687163133494,90.45623987360803,19.77747928088857,0.568,0.991165450804331,0.883454919566895
window_005,15,ensemble_weighted,125,2025-07-07,2025-12-26,60.35118237364528,76.56932577452004,21.266734404658155,0.616,0.9632602404232151,3.673975957678488
window_006,15,ensemble_weighted,125,2025-12-29,2026-06-19,78.6182551006305,96.00072694365073,25.133637538531467,0.504,0.9964422230740491,0.35577769259509395
window_001,15,ensemble_stacked,125,2023-08-07,2024-01-26,94.50063834400214,128.81262267099086,-18.29530161405344,0.608,0.9781022330803136,2.189776691968637
window_002,15,ensemble_stacked,125,2024-01-29,2024-07-19,70.27461481409067,97.83253423975246,-23.425135669364348,0.568,0.9579711105422342,4.202888945776584
window_003,15,ensemble_stacked,125,2024-07-22,2025-01-10,76.37067502711452,96.65095353508538,-44.517938339848456,0.432,1.0897778828717388,-8.977788287173883
window_004,15,ensemble_stacked,125,2025-01-13,2025-07-04,86.09503869052048,101.68592032358133,50.870262743283,0.304,1.1888847465240102,-18.888474652401023
window_005,15,ensemble_stacked,125,2025-07-07,2025-12-26,60.32880043002937,76.59446365820335,17.025187884301424,0.608,0.962903004068588,3.7096995931412025
window_006,15,ensemble_stacked,125,2025-12-29,2026-06-19,78.62357970192353,96.25794670594783,20.942172548629674,0.496,0.996509709404579,0.3490290595421053
window_001,15,random_walk,125,2023-08-07,2024-01-26,96.61631999999997,129.22087163922086,11.160799999999988,0.0,1.0,0.0
window_002,15,random_walk,125,2024-01-29,2024-07-19,73.35775999999998,97.5664462404981,-10.07167999999998,0.0,1.0,0.0
window_003,15,random_walk,125,2024-07-22,2025-01-10,70.07911999999999,88.33839133242125,-22.273359999999983,0.0,1.0,0.0
window_004,15,random_walk,125,2025-01-13,2025-07-04,72.41663999999999,90.0055012985317,25.159359999999985,0.0,1.0,0.0
window_005,15,random_walk,125,2025-07-07,2025-12-26,62.65303999999996,78.7301810641891,23.872880000000027,0.0,1.0,0.0
window_006,15,random_walk,125,2025-12-29,2026-06-19,78.89896000000003,97.04940253293684,28.865199999999973,0.0,1.0,0.0
window_001,15,carry,125,2023-08-07,2024-01-26,99.5086532891271,130.93096473198665,22.76418579877851,0.392,1.029936280838756,-2.993628083875599
window_002,15,carry,125,2024-01-29,2024-07-19,75.15996090256647,97.311831792734,-0.3080103665882889,0.432,1.024567283714313,-2.4567283714312937
